ID,DataYear,ReportingStatus,GrossFloorArea,TotalGHGEmissions,GHGIntensity,NumberOfBuildings,ChicagoEnergyRating,ENERGYSTARScore,ElectricityUse,NaturalGasUse,DistrictSteamUse,DistrictChilledWaterUse,AllOtherFuelUse,SiteEUI,SourceEUI,WeatherNormalizedSiteEUI,WeatherNormalizedSourceEUI
233760,2020,Submitted Data,354934.0,2916.9,11.2,1,1.0,4,10694320.7,23494153.0,,,,131.5,210.0,137.5,215.6
103766,2020,Submitted Data,329845.0,2647.9,9.4,1,4.0,68,16202311.9,2245160.3,,,,65.3,169.0,68.4,175.1
159982,2020,Submitted Data,103330.0,1389.5,15.2,2,1.0,9,3471545.9,15959119.9,,,,213.1,290.4,227.0,305.0
175495,2020,Submitted Data,54600.0,544.9,10.0,1,4.0,,3129321.9,1064740.0,,,,76.8,181.0,76.8,181.0
244325,2020,Submitted Data,333000.0,3042.4,9.4,1,1.0,11,7061555.3,36530711.0,,,,134.1,178.9,137.6,182.5
251488,2020,Submitted Data,53700.0,404.5,7.5,1,2.5,33,763518.4,5371580.2,,,,114.2,144.8,122.8,153.8
175789,2020,Not Submitted,81378.0,,,,0.0,,,,,,,,,,
101560,2020,Submitted Data,636217.0,6624.0,10.4,1,3.0,42,29743740.4,37313760.5,,,,105.4,192.5,108.7,195.4
251404,2020,Submitted Data,60929.0,425.7,7.0,1,2.5,34,800519.2,5661870.2,,,,106.1,134.4,118.1,147.4
159651,2020,Submitted Data,158320.0,19869.9,136.5,1,1.0,,738234.0,371924615.1,,,,2559.5,2696.3,2559.6,2696.5
251541,2020,Submitted Data,113870.0,870.9,7.6,1,2.5,34,3054648.8,7421690.2,,,,92.0,143.5,96.3,148.1
175892,2020,Exempt,96960.0,,,,,,,,,,,,,,
104430,2020,Submitted Data,51840.0,255.8,4.9,2,3.0,64,488178.8,,,,,74.6,94.8,82.7,102.5
119629,2020,Submitted Data,142374.0,2982.1,20.9,1,3.5,72,15137211.0,11667060.0,,,,188.3,383.7,196.0,391.1
102766,2020,Submitted Data,77900.0,475.1,6.5,1,4.0,66,1477795.2,4602635.9,,,,83.3,122.9,90.8,129.8
112724,2020,Submitted Data,57600.0,570.1,9.9,1,1.0,11,1467088.3,6422899.9,,,,137.0,188.4,151.2,203.3
145637,2020,Not Submitted,126211.0,,,,0.0,,,,,,,,,,
130949,2020,Exempt,81933.0,,,,,,,,,,,,,,
251470,2020,Submitted Data,70600.0,441.7,6.3,1,3.0,47,1412518.4,4165479.8,,,,79.0,118.0,84.1,123.3
175236,2020,Not Submitted,52800.0,,,,0.0,,,,,,,,,,
117115,2020,Not Submitted,114450.0,,,,0.0,,,,,,,,,,
104105,2020,Submitted Data,65918.0,281.6,4.6,1,4.0,91,738998.3,3130799.8,,,,63.5,87.9,65.8,90.3
251287,2020,Submitted Data,160000.0,2140.2,13.4,1,2.0,19,11048462.0,7829400.3,,,,118.0,244.7,126.2,260.8
103314,2020,Not Submitted,86780.0,,,,0.0,,,,,,,,,,
251352,2020,Not Submitted,73600.0,,,,0.0,,,,,,,,,,
156876,2020,Submitted Data,200000.0,,,,0.0,,,,,,,,,,
251536,2020,Submitted Data,69366.0,611.2,8.8,1,2.0,21,1435152.1,7289270.0,,,,125.8,168.3,134.4,177.3
168225,2020,Submitted Data,244440.0,1303.0,5.3,1,4.0,93,3405630.0,14525287.2,,,,73.4,101.4,77.2,104.4
