Address,Coordinates
7600 7612 S SOUTH SHORE DR,"{'latitude': 41.7585433, 'longitude': -87.5554145}"
7 W Madison St,"{'latitude': 41.8818687, 'longitude': -87.628185}"
4250 N St Louis Ave,"{'latitude': 41.9586714, 'longitude': -87.7159066}"
4701 4705 N BEACON ST,"{'latitude': 41.9674486, 'longitude': -87.6637966}"
444 N Wells St,"{'latitude': 41.89051509999999, 'longitude': -87.6342816}"
701 S Wells St,"{'latitude': 41.8731058, 'longitude': -87.6332396}"
2845 N Newcastle Ave,"{'latitude': 41.93210819999999, 'longitude': -87.796313}"
4601 4613 N SHERIDAN RD,"{'latitude': 41.9658395, 'longitude': -87.654231}"
431  W OAKDALE AVE,"{'latitude': 41.9354316, 'longitude': -87.6406566}"
1750 W Peterson Ave,"{'latitude': 41.9912095, 'longitude': -87.67356199999999}"
4600  N CUMBERLAND AVE,"{'latitude': 41.963505, 'longitude': -87.8372725}"
5625 N Mcvicker Ave,"{'latitude': 41.9839832, 'longitude': -87.7788698}"
4914 N CLARK ST,"{'latitude': 41.972168, 'longitude': -87.668211}"
1120 1126 E 47th St,"{'latitude': 41.8100855, 'longitude': -87.5983328}"
652  E 50TH ST,"{'latitude': 41.8041248, 'longitude': -87.6092736}"
